output,type,embedded_in_manuscript,producer,run_command,writer_verified,notes
sample_table.tex,table,yes,scripts/make_sample_table.py,python scripts/make_sample_table.py,yes,write_text at L148; records source commit. Faber2026-local.
budget_table.tex,table,yes,pipeline/galaxies/foreground/budget_table_emitter.py (+ sightline_budget.format_budget_table_tex),cd pipeline && uv run python -m galaxies.foreground.budget_table_emitter --out ../budget_table.tex,yes,GENERATED (2026-07-08): emitter galaxies/foreground/budget_table_emitter.py renders from galaxies/foreground/budget_table_data.json (12-row single source of truth); re-exported via sightline_budget.format_budget_table_tex(). Parity test galaxies/foreground/test_budget_table_emitter.py: byte-exact vs exports/budget_table.tex AND DM_host median^+p84_-p16 cross-checked value-for-value against scripts/dm_budget_uncertainty.py forward-model posteriors (9/9 non-placeholder sightlines). Root .tex is banner-marked generated; \input path unchanged (Overleaf-safe). tau_obs column still withheld pending V1 ladder. Submodule.
foreground_table.tex,table,yes,pipeline/galaxies/foreground/foreground_table_emitter.py,cd pipeline && uv run python -m galaxies.foreground.foreground_table_emitter --out ../foreground_table.tex,yes,GENERATED (2026-07-08): emitter galaxies/foreground/foreground_table_emitter.py renders from galaxies/foreground/foreground_table_data.json (28-row single source). Parity test galaxies/foreground/test_foreground_table_emitter.py: byte-exact vs exports/foreground_table.tex AND every numeric object ID's verdict cross-checked against data/intervening_census_registry.csv (27/27 registry-resident rows). Table is a curated subset of the registry's confirmed+inconclusive systems (refuted omitted; cluster ID from WenHan2024). Root .tex is banner-marked generated; \input path unchanged. Submodule.
beta_table.tex,table,no,pipeline/analysis/beta_campaign/export_beta_table.py,cd pipeline && uv run python analysis/beta_campaign/export_beta_table.py,yes,Emits beta_table_rows.tex (data rows) at L82; caption/shell in Faber2026 beta_table.tex. NOT \input yet (awaiting beta SLOT). Submodule producer.
figures/dm_host_posteriors.pdf,figure,yes,scripts/dm_budget_uncertainty.py,python scripts/dm_budget_uncertainty.py,yes,savefig L268-269. Faber2026-local.
figures/ne2025_mw_characterization_nside32.pdf,figure,yes,scripts/plot_ne2025_mw_properties.py,python scripts/plot_ne2025_mw_properties.py --nside 32,yes,argparse; savefig L257-258 with suffix='_nside32' (L80). Uses scripts/ne2025_allsky_cache_nside32.npz. Faber2026-local.
figures/sightline_halo_grid.pdf,figure,yes,pipeline/galaxies/v2_0/sightline_halo_grid.py,cd pipeline && uv run python galaxies/v2_0/sightline_halo_grid.py --out-dir ../figures,yes,argparse --out-dir; savefig L348. Submodule producer.
figures/clusters_icm.pdf,figure,yes,pipeline/galaxies/v2_0/systems_figures.py,cd pipeline && uv run python galaxies/v2_0/systems_figures.py,candidate,"Multi-figure script (also galaxies_cgm, sightline_dm_scattering_budget). Per-figure savefig not isolated. Submodule."
figures/association_cards/association_card_*.pdf,figure,yes,pipeline/crossmatching/plot_association_cards.py,cd pipeline && uv run python crossmatching/plot_association_cards.py,yes,"savefig L288; copies card PDFs to the manuscript figures dir. Output path is now a repo-relative default (ROOT.parent/figures/association_cards) derived from the file location, overridable with --manuscript-dir; --no-manuscript-copy skips the copy for standalone submodule checkouts. Fully clone-safe as of 2026-07-08 (previously a hardcoded machine path). Submodule."
figures/jointmodel_pair/*_jointmodel_pair.pdf,figure,yes,pipeline/analysis/scattering-refit-2026-06/plot_jointmodel_pair.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/plot_jointmodel_pair.py,yes,Writes png+pdf+svg (L120-122) to figures/prototypes/jointmodel_pair/; winners promoted to figures/jointmodel_pair/. Submodule.
