output,type,embedded_in_manuscript,producer,run_command,writer_verified,clone_verified,notes
joint_fit_provisional_table.tex,table,yes,scripts/build_provisional_propagation_tables.py,python3 scripts/build_provisional_propagation_tables.py,yes,reproduced,Generated from the frozen July 14 DM-locked fit adjudication and fit-summary JSONs; source hashes recorded in analysis/provisional_propagation/results.json. Values are explicitly provisional.
dsa_scint_provisional_table.tex,table,yes,scripts/build_provisional_propagation_tables.py,python3 scripts/build_provisional_propagation_tables.py,yes,reproduced,Generated from the frozen July 7 DSA Lorentzian component catalog; source hash recorded in analysis/provisional_propagation/results.json. Only the qualified Oran component is certified.
chime_scintillation_campaign_table.tex,table,yes,scripts/build_scintillation_campaign_summary.py,"env -i HOME=/Users/jakobfaber PATH=/opt/anaconda3/bin:/opt/homebrew/bin:/usr/bin:/bin /opt/anaconda3/bin/conda run -n py312 python scripts/build_scintillation_campaign_summary.py",yes,reproduced_pin_dependent,"Generated from the pinned dsa110-FLITS PR #192 campaign JSON. The fail-closed builder verifies a closed 24-record campaign with exactly one qualified measurement (chromatica_hi) and 23 diagnostic-only records; input and output hashes are recorded in analysis/scintillation-summary/campaign_provenance.json."
twoscreen_provisional_table.tex,table,yes,scripts/build_provisional_propagation_tables.py,python3 scripts/build_provisional_propagation_tables.py,yes,reproduced,"Policy-enforced readiness table. Products may use only tau_consistency refits with alpha fixed to 4, never free-alpha joint tau. All seven eligible rows are currently pending because the committed consistency catalog contains no completed refits."
foreground_propagation_provisional_table.tex,table,yes,scripts/build_provisional_propagation_tables.py,python3 scripts/build_provisional_propagation_tables.py,yes,reproduced,Generated by joining the registry-authoritative V4 budget and foreground census to the July fit adjudication. Coverage-censored zeros and unusable fits remain explicit; ratios and causal readings are provisional.
sample_table.tex,table,yes,scripts/make_sample_table.py,conda run -n flits python scripts/make_sample_table.py,yes,reproduced_fixed_cmd,"write_text at L148; records source commit. Faber2026-local. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): the flits env (pipeline/environment.yml) supplies the deps; bare `python` is undefined for super-repo producers and pipeline/uv.lock lacks healpy. Banner note updated 2026-07-17: committed sample_table.tex carries `% source commit 528b21e` (current); the earlier f9e1c24-stale-banner observation is resolved."
dm_measurements_table.tex,table,yes,scripts/render_dm_measurements_table.py,python scripts/render_dm_measurements_table.py,yes,reproduced_fixed_cmd,"UPDATED 2026-07-13: manuscript-facing CHIME, DSA, band-difference, and adopted DM table rendered from analysis/dm-joint-phase-v2/manuscript_dm_catalog.csv. The machine-readable catalog is authoritative; adoption is uniformly chime_primary. --check and tests/test_verified_dm_manuscript.py enforce byte parity in CI."
budget_table.tex,table,yes,scripts/render_budget_table.py,conda run -n flits python scripts/dm_budget_uncertainty.py && conda run -n flits python scripts/render_budget_table.py,yes,reproduced_fixed_cmd,"UPDATED 2026-07-15: root renderer keeps foreground/cosmological columns from the pinned pipeline budget_table_data.json, overlays exact DM_obs from analysis/dm-joint-phase-v2/manuscript_dm_catalog.csv, and overlays observer-frame DM_host from the deterministic-convolution summaries in scripts/dm_budget_uncertainty.csv. The appendix reports the exact (1+z) rest-frame rescaling and preserves provisional-redshift and incomplete-census upper-limit flags. --check is the CI parity gate."
foreground_table.tex,table,yes,pipeline/galaxies/foreground/foreground_table_emitter.py,cd pipeline && uv run python -m galaxies.foreground.foreground_table_emitter --out ../foreground_table.tex,yes,reproduced,"GENERATED (2026-07-08): emitter galaxies/foreground/foreground_table_emitter.py renders from galaxies/foreground/foreground_table_data.json (28-row single source). Parity test galaxies/foreground/test_foreground_table_emitter.py: byte-exact vs exports/foreground_table.tex AND every numeric object ID's verdict cross-checked against galaxies/foreground/data/intervening_census_registry.csv (27/27 registry-resident rows). Table is a curated subset of the registry's confirmed+inconclusive systems (refuted omitted; cluster ID from WenHan2024). Root .tex is banner-marked generated; \input path unchanged. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): regenerates byte-identically."
beta_table.tex,table,no,pipeline/analysis/beta_campaign/export_beta_table.py,cd pipeline && uv run python analysis/beta_campaign/export_beta_table.py,yes,wrong_output_path,"Emits beta_table_rows.tex (data rows) at L82; caption/shell in Faber2026 beta_table.tex. NOT \input yet (awaiting beta SLOT). Submodule producer. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): the command exits 0 but writes pipeline/analysis/beta_campaign/beta_table_rows.tex and never beta_table.tex (whose caption/shell is hand-maintained here). writer_verified=yes must not be read as 'this command emits this file'. UPDATE 2026-07-09 (pin now 79eaf7e, Faber2026 #71): the submodule's beta_table_rows.tex changed at this pin -- the zach row moved from _C1D1 to _C2D4_cwin. The root beta_table.tex is hand-maintained, is not \input by the manuscript, and was deliberately NOT regenerated: tab:beta is deferred. Do not read this row as 'root beta_table.tex is current with the pin'. UPDATE 2026-07-09 (pin now 14e0d1f, guards pin-bump PR; FLITS #156): one-commit descendant of 79eaf7e promoting the CHIME scintillation artifact-control guards; touches only scintillation/ and analysis/scintillation-dsa-lorentzian-2026-07-07/ -- no galaxies/, no emitters, no *_table_data.json -- so every claim verified at 79eaf7e carries unchanged. UPDATE 2026-07-13 (pin now 0e0f58b; submodule retargeted to the jakobtfaber/dsa110-FLITS fork, whose history was rewritten): 0e0f58b is NOT a descendant of any pre-rewrite pin -- those SHAs resolve only via the org upstream dsa110/dsa110-FLITS, and ancestry checks do not apply across the rewrite boundary; verified by content diff instead. git diff 79eaf7e..0e0f58b leaves export_beta_table.py and beta_table_rows.tex untouched, so every claim above carries unchanged. Caveat (see REPRODUCE.md): the rewrite-pin drops scintillation/scint_analysis and the DM-campaign trees (~221 files; re-land decision pending) -- unrelated to this row."
figures/dm_host_posteriors.pdf,figure,yes,scripts/dm_budget_uncertainty.py,conda run -n flits python scripts/dm_budget_uncertainty.py,yes,reproduced_fixed_cmd,"UPDATED 2026-07-15: direct normalized PDFs on dx=0.1 pc cm^-3; 64-node split Gauss-Legendre f_IGM marginalization with analytic clipped-endpoint masses; FFT convolution of median-centered disk, halo, and individual census-system priors; no Monte Carlo or KDE in the published artifact. The independent 500000-draw oracle is validation-only. The flits environment supplies numpy/scipy/matplotlib."
figures/ne2025_mw_characterization_nside32.pdf,figure,yes,scripts/plot_ne2025_mw_properties.py,conda run -n flits python scripts/plot_ne2025_mw_properties.py --nside 32,yes,reproduced_fixed_cmd,"argparse; savefig L257-258 with suffix='_nside32' (L80). Uses scripts/ne2025_allsky_cache_nside32.npz. Faber2026-local. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): as written it dies at `import healpy` (ModuleNotFoundError). the flits env (pipeline/environment.yml) supplies the deps; bare `python` is undefined for super-repo producers and pipeline/uv.lock lacks healpy."
